Nom gare;Code Gare;Type jour;Annee;Date;Ligne;Axe;Tranche horaire;Montants;COVID
ARGENTEUIL;87381848;JOB;2021;2021-10-06;J;J6;De 16h à 20h;4139;Après COVID
AULNAY SOUS BOIS;87271411;JOB;2019;2019-03-28;B;B;De 16h à 20h;4183;Avant COVID
ARGENTEUIL;87381848;SAM;2021;2021-10-09;J;J4;De 10h à 16h;2574;Après COVID
AULNAY SOUS BOIS;87271411;JOB;2021;2021-10-06;K;K;Après 20h;59;Après COVID
ARGENTEUIL;87381848;SAM;2021;2021-10-09;J;J4;De 16h à 20h;1584;Après COVID
AULNAY SOUS BOIS;87271411;JOB;2021;2021-10-06;K;K;De 16h à 20h;426;Après COVID
ARGENTEUIL;87381848;SAM;2021;2021-10-09;J;J6;De 16h à 20h;2443;Après COVID
AULNAY SOUS BOIS;87271411;SAM;2019;2019-03-16;B;B;De 10h à 16h;7910;Avant COVID
ARPAJON;87545467;JOB;2017;2017-04-25;C;C;De 10h à 16h;687;Avant COVID
AULNAY SOUS BOIS;87271411;SAM;2021;2021-09-11;T4;T4;Avant 6h;3;Après COVID
ARPAJON;87545467;SAM;2017;2017-04-22;C;C;Après 20h;122;Avant COVID
AUVERS SUR OISE;87276543;SAM;2021;2021-10-09;H;H;De 16h à 20h;49;Après COVID
ASNIERES SUR SEINE;87381137;DIM;2021;2021-10-10;J;J4;Avant 6h;29;Après COVID
AVENUE DU PRESIDENT KENNEDY - MAISON DE RADIO FRANCE;87543207;DIM;2017;2017-04-23;C;C;Après 20h;109;Avant COVID
ASNIERES SUR SEINE;87381137;DIM;2021;2021-10-10;J;J4;De 10h à 16h;2093;Après COVID
AVENUE DU PRESIDENT KENNEDY - MAISON DE RADIO FRANCE;87543207;DIM;2017;2017-04-23;C;C;De 6h à 10h;69;Avant COVID
ASNIERES SUR SEINE;87381137;DIM;2021;2021-10-10;L;L2;Avant 6h;12;Après COVID
AVENUE DU PRESIDENT KENNEDY - MAISON DE RADIO FRANCE;87543207;JOB;2017;2017-04-25;C;C;Après 20h;215;Avant COVID
ASNIERES SUR SEINE;87381137;DIM;2021;2021-10-10;L;L2;De 10h à 16h;1571;Après COVID
AVENUE DU PRESIDENT KENNEDY - MAISON DE RADIO FRANCE;87543207;JOB;2017;2017-04-25;C;C;De 16h à 20h;1601;Avant COVID
ASNIERES SUR SEINE;87381137;DIM;2021;2021-10-10;L;L3;Avant 6h;15;Après COVID
AVENUE DU PRESIDENT KENNEDY - MAISON DE RADIO FRANCE;87543207;JOB;2017;2017-04-25;C;C;De 6h à 10h;663;Avant COVID
ASNIERES SUR SEINE;87381137;DIM;2021;2021-10-10;L;L3;De 16h à 20h;888;Après COVID
AVENUE FOCH;87381038;JOB;2017;2017-04-25;C;C;Avant 6h;5;Avant COVID
ASNIERES SUR SEINE;87381137;JOB;2021;2021-10-06;J;J4;Après 20h;754;Après COVID
AVENUE FOCH;87381038;JOB;2017;2017-04-25;C;C;De 16h à 20h;1038;Avant COVID
ASNIERES SUR SEINE;87381137;JOB;2021;2021-10-06;J;J4;Avant 6h;45;Après COVID
AVENUE FOCH;87381038;SAM;2017;2017-04-22;C;C;De 10h à 16h;337;Avant COVID
ASNIERES SUR SEINE;87381137;JOB;2021;2021-10-06;J;J6;Après 20h;41;Après COVID
AVENUE HENRI MARTIN;87381046;DIM;2017;2017-04-23;C;C;Après 20h;72;Avant COVID
ASNIERES SUR SEINE;87381137;JOB;2021;2021-10-06;L;L3;Après 20h;537;Après COVID
BAGNEAUX SUR LOING;87684191;DIM;2017;2017-03-12;R;R;Après 20h;4;Avant COVID
ASNIERES SUR SEINE;87381137;JOB;2021;2021-10-06;L;L3;De 16h à 20h;2757;Après COVID
BAGNEAUX SUR LOING;87684191;DIM;2017;2017-03-12;R;R;De 6h à 10h;11;Avant COVID
ASNIERES SUR SEINE;87381137;SAM;2021;2021-10-09;L;L2;De 16h à 20h;1052;Après COVID
ABLON;87545269;DIM;2017;2017-04-23;C;C;Après 20h;69;Avant COVID
BAGNEAUX SUR LOING;87684191;JOB;2017;2017-03-07;R;R;De 10h à 16h;40;Avant COVID
ASNIERES SUR SEINE;87381137;SAM;2021;2021-10-09;L;L3;De 6h à 10h;688;Après COVID
ABLON;87545269;DIM;2017;2017-04-23;C;C;Avant 6h;2;Avant COVID
BAGNEAUX SUR LOING;87684191;JOB;2017;2017-03-07;R;R;De 16h à 20h;61;Avant COVID
ATHIS MONS;87545251;SAM;2017;2017-04-22;C;C;De 16h à 20h;290;Avant COVID
ABLON;87545269;DIM;2017;2017-04-23;C;C;De 6h à 10h;93;Avant COVID
BAGNEAUX SUR LOING;87684191;SAM;2017;2017-03-11;R;R;De 16h à 20h;32;Avant COVID
AUBERGENVILLE ELISABETHVILLE;87386730;DIM;2021;2021-12-05;J;J5;Avant 6h;19;Après COVID
ABLON;87545269;JOB;2017;2017-04-25;C;C;Après 20h;76;Avant COVID
BAGNEUX;87758680;JOB;2019;2019-03-28;B;B;Après 20h;103;Avant COVID
AUBERGENVILLE ELISABETHVILLE;87386730;DIM;2021;2021-12-05;J;J5;De 10h à 16h;201;Après COVID
ABLON;87545269;JOB;2017;2017-04-25;C;C;Avant 6h;73;Avant COVID
BAGNEUX;87758680;JOB;2019;2019-03-28;B;B;De 10h à 16h;520;Avant COVID
AUBERGENVILLE ELISABETHVILLE;87386730;JOB;2021;2021-12-07;J;J5;Avant 6h;90;Après COVID
ABLON;87545269;JOB;2017;2017-04-25;C;C;De 10h à 16h;624;Avant COVID
BAGNEUX;87758680;JOB;2019;2019-03-28;B;B;De 6h à 10h;541;Avant COVID
AUBERGENVILLE ELISABETHVILLE;87386730;SAM;2021;2021-12-04;J;J5;De 10h à 16h;387;Après COVID
ABLON;87545269;JOB;2017;2017-04-25;C;C;De 6h à 10h;1288;Avant COVID
BALLANCOURT;87681437;DIM;2019;2019-03-24;D;D;Après 20h;11;Avant COVID
AULNAY SOUS BOIS;87271411;DIM;2019;2019-03-17;B;B;Avant 6h;149;Avant COVID
ACHERES GRAND CORMIER;87386052;DIM;2014;2014-05-18;A;A;Après 20h;34;Avant COVID
BALLANCOURT;87681437;JOB;2019;2019-03-26;D;D;Après 20h;15;Avant COVID
AULNAY SOUS BOIS;87271411;JOB;2019;2019-03-21;B;B;Après 20h;1193;Avant COVID
ACHERES GRAND CORMIER;87386052;DIM;2014;2014-05-18;A;A;De 10h à 16h;78;Avant COVID
BALLANCOURT;87681437;SAM;2019;2019-03-23;D;D;Avant 6h;7;Avant COVID
AULNAY SOUS BOIS;87271411;JOB;2019;2019-03-21;B;B;Avant 6h;128;Avant COVID
ACHERES GRAND CORMIER;87386052;DIM;2014;2014-05-18;A;A;De 16h à 20h;52;Avant COVID
BALLANCOURT;87681437;SAM;2019;2019-03-23;D;D;De 10h à 16h;181;Avant COVID
AULNAY SOUS BOIS;87271411;JOB;2019;2019-03-28;B;B;Après 20h;1445;Avant COVID
ACHERES GRAND CORMIER;87386052;JOB;2018;2018-03-27;A;A;Avant 6h;7;Avant COVID
BALLANCOURT;87681437;SAM;2019;2019-03-23;D;D;De 16h à 20h;103;Avant COVID
AULNAY SOUS BOIS;87271411;JOB;2019;2019-03-28;B;B;Avant 6h;959;Avant COVID
ACHERES GRAND CORMIER;87386052;SAM;2014;2014-05-17;A;A;Avant 6h;4;Avant COVID
BECON LES BRUYERES;87382002;DIM;2021;2021-10-10;L;L2;Après 20h;186;Après COVID
AULNAY SOUS BOIS;87271411;JOB;2021;2021-09-21;T4;T4;Après 20h;1068;Après COVID
ACHERES GRAND CORMIER;87386052;SAM;2014;2014-05-17;A;A;De 10h à 16h;95;Avant COVID
BECON LES BRUYERES;87382002;JOB;2021;2021-10-06;L;L2;De 16h à 20h;2188;Après COVID
AULNAY SOUS BOIS;87271411;JOB;2021;2021-09-21;T4;T4;De 16h à 20h;3679;Après COVID
ACHERES VILLE;87381657;SAM;2014;2014-05-17;A;A;De 16h à 20h;771;Avant COVID
BECON LES BRUYERES;87382002;JOB;2021;2021-10-06;L;L3;De 10h à 16h;1621;Après COVID
AULNAY SOUS BOIS;87271411;JOB;2021;2021-09-21;T4;T4;De 6h à 10h;1323;Après COVID
AEROPORT CHARLES DE GAULLE 1;87271460;DIM;2019;2019-03-17;B;B;Avant 6h;70;Avant COVID
BECON LES BRUYERES;87382002;SAM;2021;2021-10-09;L;L2;Avant 6h;13;Après COVID
AULNAY SOUS BOIS;87271411;JOB;2021;2021-10-06;K;K;Avant 6h;175;Après COVID
AEROPORT CHARLES DE GAULLE 1;87271460;DIM;2019;2019-03-17;B;B;De 10h à 16h;3241;Avant COVID
BELLEVUE;87393116;DIM;2018;2018-10-14;N;N;De 6h à 10h;82;Avant COVID
AULNAY SOUS BOIS;87271411;SAM;2019;2019-03-16;B;B;Avant 6h;513;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;DIM;2019;2019-03-24;B;B;De 16h à 20h;392;Avant COVID
BELLEVUE;87393116;JOB;2018;2018-10-16;N;N;De 6h à 10h;794;Avant COVID
AULNAY SOUS BOIS;87271411;SAM;2021;2021-10-09;K;K;Après 20h;35;Après COVID
AEROPORT CHARLES DE GAULLE 1;87271460;JOB;2019;2019-03-21;B;B;Après 20h;130;Avant COVID
BELLOY SAINT-MARTIN;87276550;DIM;2021;2021-10-10;H;H;De 6h à 10h;9;Après COVID
AULNAY SOUS BOIS;87271411;SAM;2021;2021-10-09;K;K;De 6h à 10h;339;Après COVID
AEROPORT CHARLES DE GAULLE 1;87271460;SAM;2019;2019-03-16;B;B;De 16h à 20h;1345;Avant COVID
BELLOY SAINT-MARTIN;87276550;JOB;2021;2021-10-06;H;H;Avant 6h;13;Après COVID
AUVERS SUR OISE;87276543;JOB;2021;2021-10-06;H;H;De 10h à 16h;38;Après COVID
AEROPORT CHARLES DE GAULLE 1;87271460;SAM;2019;2019-03-23;B;B;De 6h à 10h;462;Avant COVID
BELLOY SAINT-MARTIN;87276550;SAM;2021;2021-10-09;H;H;De 6h à 10h;19;Après COVID
AUVERS SUR OISE;87276543;JOB;2021;2021-10-06;H;H;De 6h à 10h;67;Après COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-21;B;B;Après 20h;0;Avant COVID
BESSANCOURT;87276642;SAM;2021;2021-10-09;H;H;Après 20h;42;Après COVID
AVENUE DU PRESIDENT KENNEDY - MAISON DE RADIO FRANCE;87543207;DIM;2017;2017-04-23;C;C;Avant 6h;16;Avant COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-21;B;B;De 16h à 20h;0;Avant COVID
BESSANCOURT;87276642;SAM;2021;2021-10-09;H;H;De 10h à 16h;249;Après COVID
AVENUE FOCH;87381038;DIM;2017;2017-04-23;C;C;De 6h à 10h;49;Avant COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;SAM;2019;2019-03-16;B;B;Avant 6h;112;Avant COVID
BEYNES;87393363;JOB;2018;2018-10-16;N;N;De 10h à 16h;62;Avant COVID
AVENUE FOCH;87381038;JOB;2017;2017-04-25;C;C;De 10h à 16h;503;Avant COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;DIM;2021;2021-09-12;T4;T4;Après 20h;38;Après COVID
BIBLIOTHEQUE FRANCOIS MITTERRAND;87328328;JOB;2017;2017-04-25;C;C;Après 20h;6011;Avant COVID
AVENUE FOCH;87381038;SAM;2017;2017-04-22;C;C;Après 20h;150;Avant COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;JOB;2021;2021-09-21;T4;T4;Avant 6h;19;Après COVID
BIBLIOTHEQUE FRANCOIS MITTERRAND;87328328;JOB;2017;2017-04-25;C;C;Avant 6h;303;Avant COVID
AVENUE HENRI MARTIN;87381046;DIM;2017;2017-04-23;C;C;Avant 6h;0;Avant COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;SAM;2021;2021-09-11;T4;T4;De 10h à 16h;335;Après COVID
BIBLIOTHEQUE FRANCOIS MITTERRAND;87328328;SAM;2017;2017-04-22;C;C;Après 20h;5621;Avant COVID
AVENUE HENRI MARTIN;87381046;DIM;2017;2017-04-23;C;C;De 16h à 20h;180;Avant COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;SAM;2021;2021-09-18;T4;T4;De 6h à 10h;109;Après COVID
BIBLIOTHEQUE FRANCOIS MITTERRAND;87328328;SAM;2017;2017-04-22;C;C;Avant 6h;137;Avant COVID
AVENUE HENRI MARTIN;87381046;DIM;2017;2017-04-23;C;C;De 6h à 10h;52;Avant COVID
AMPERE WAGRAM;87771111;JOB;2017;2017-04-25;C;C;Après 20h;0;Avant COVID
BIEVRES;87393546;DIM;2017;2017-04-23;C;C;De 10h à 16h;89;Avant COVID
AVENUE HENRI MARTIN;87381046;JOB;2017;2017-04-25;C;C;Après 20h;151;Avant COVID
AMPERE WAGRAM;87771111;JOB;2017;2017-04-25;C;C;De 10h à 16h;2;Avant COVID
BIEVRES;87393546;DIM;2017;2017-04-23;C;C;De 6h à 10h;23;Avant COVID
AVENUE HENRI MARTIN;87381046;JOB;2017;2017-04-25;C;C;Avant 6h;9;Avant COVID
AMPERE WAGRAM;87771111;SAM;2017;2017-04-22;C;C;De 10h à 16h;1;Avant COVID
BIEVRES;87393546;SAM;2017;2017-04-22;C;C;Avant 6h;4;Avant COVID
AVENUE HENRI MARTIN;87381046;JOB;2017;2017-04-25;C;C;De 10h à 16h;413;Avant COVID
ANDRESY;87381491;JOB;2021;2021-10-06;J;J6;Avant 6h;18;Après COVID
BOIGNEVILLE;87684407;DIM;2019;2019-03-24;D;D;De 6h à 10h;2;Avant COVID
AVENUE HENRI MARTIN;87381046;JOB;2017;2017-04-25;C;C;De 6h à 10h;377;Avant COVID
ANDRESY;87381491;JOB;2021;2021-10-06;J;J6;De 6h à 10h;533;Après COVID
BOIGNEVILLE;87684407;JOB;2019;2019-03-26;D;D;De 10h à 16h;15;Avant COVID
BAGNEAUX SUR LOING;87684191;JOB;2017;2017-03-07;R;R;Après 20h;7;Avant COVID
ANDRESY;87381491;SAM;2021;2021-10-09;J;J6;De 6h à 10h;88;Après COVID
BOIGNEVILLE;87684407;SAM;2019;2019-03-23;D;D;De 10h à 16h;10;Avant COVID
BAGNEAUX SUR LOING;87684191;JOB;2017;2017-03-07;R;R;Avant 6h;9;Avant COVID
ANGERVILLE;87543090;SAM;2017;2017-04-22;C;C;Après 20h;2;Avant COVID
BOIS COLOMBES;87381079;DIM;2021;2021-10-10;J;J4;Après 20h;267;Après COVID
BAGNEUX;87758680;JOB;2019;2019-03-21;B;B;Avant 6h;123;Avant COVID
ANGERVILLE;87543090;SAM;2017;2017-04-22;C;C;De 6h à 10h;17;Avant COVID
BOIS COLOMBES;87381079;DIM;2021;2021-10-10;J;J4;De 10h à 16h;2029;Après COVID
BALLANCOURT;87681437;SAM;2019;2019-03-23;D;D;Après 20h;7;Avant COVID
ANTONY;87758755;JOB;2019;2019-03-21;B;B;Après 20h;1351;Avant COVID
BOIS COLOMBES;87381079;DIM;2021;2021-10-10;J;J6;Après 20h;13;Après COVID
BECON LES BRUYERES;87382002;DIM;2021;2021-10-10;L;L3;Après 20h;204;Après COVID
ANTONY;87758755;JOB;2019;2019-03-21;B;B;De 6h à 10h;8683;Avant COVID
BOIS COLOMBES;87381079;JOB;2021;2021-10-06;J;J4;De 6h à 10h;3428;Après COVID
BECON LES BRUYERES;87382002;DIM;2021;2021-10-10;L;L3;De 10h à 16h;1298;Après COVID
ANTONY;87758755;JOB;2019;2019-04-02;B;B;De 10h à 16h;1821;Avant COVID
BOIS LE ROI;87682203;JOB;2017;2017-03-07;R;R;De 6h à 10h;1413;Avant COVID
BECON LES BRUYERES;87382002;JOB;2021;2021-10-06;L;L3;Avant 6h;55;Après COVID
ARBORETUM;87704320;DIM;2021;2021-09-12;T4;T4;De 6h à 10h;29;Après COVID
BOIS LE ROI;87682203;SAM;2017;2017-03-11;R;R;De 10h à 16h;436;Avant COVID
BECON LES BRUYERES;87382002;JOB;2021;2021-10-06;L;L3;De 16h à 20h;3003;Après COVID
ARBORETUM;87704320;SAM;2021;2021-09-11;T4;T4;Avant 6h;1;Après COVID
BOIS LE ROI;87682203;SAM;2017;2017-03-11;R;R;De 16h à 20h;410;Avant COVID
BECON LES BRUYERES;87382002;SAM;2021;2021-10-09;L;L2;De 10h à 16h;2018;Après COVID
ARBORETUM;87704320;SAM;2021;2021-09-18;T4;T4;De 10h à 16h;36;Après COVID
BOISSISE LE ROI;87682518;DIM;2019;2019-03-24;D;D;De 6h à 10h;17;Avant COVID
BECON LES BRUYERES;87382002;SAM;2021;2021-10-09;L;L2;De 6h à 10h;629;Après COVID
ARBORETUM;87704320;SAM;2021;2021-09-18;T4;T4;De 6h à 10h;62;Après COVID
BOISSISE LE ROI;87682518;JOB;2019;2019-03-26;D;D;De 10h à 16h;26;Avant COVID
BECON LES BRUYERES;87382002;SAM;2021;2021-10-09;L;L3;De 10h à 16h;1890;Après COVID
